first_seen_utc,sha256_hash,md5_hash,sha1_hash,reporter,file_type_guess,mime_type,signature,clamav,vtpercent,imphash,ssdeep,tlsh
16/09/2021 14:20,ca8155717d09efee7d25a97e71e452babd3d9271eca30a64b8c7ec0cdcb982a0,16177c9f47154ecd038609efd949018b,d488d537d52fdf8f27f1f9d0743d5a35277b1a1a,abuse_ch,xlsx,application/encrypted,Formbook,n/a,n/a,n/a,12288:e/70PO01dvuHVKeOTTt206vPBPGedggLG6voN0iWghaJP:e/7Zw2HVKeO3406BjGWoiK8J,T1CCD402C672A23EA3E9C366789C184580C2279C80D367421F1C3D798583BDF9BEE9615F
16/09/2021 14:18,6fbd8021303284f044664690a1c4dbb0e066070dccd7a01ad30c847242583934,9b39547af5720a788a24f1ff7c9a4f7c,ec205fab4c3e376b820daf2712c69b71b6477fec,abuse_ch,doc,text/rtf,AgentTesla,n/a,42.86,n/a,384:Q/CuexKQTkSlCi7izBbtfbrBz4Otjrh5zCkKMxl:PuoGi7gbJNDF1,T1D8723FBCC04B06988F86ABB82B0B2F45115DB61EF785A573727CA73467E5C7A412393C
16/09/2021 14:18,693b3b02fa49f6284b305d3b95f899efc67445830ddd16536aa12342cf284cab,30b079f55100cdd87aa533f09d25a90c,86bbf8bc86ad7a539bd21d72083c97c9249fde1a,abuse_ch,doc,text/rtf,n/a,n/a,31.03,n/a,192:07Nhp8L/cA4jcetCca8JBVOTOPWBbbvr+BMvbZsfBdSgSrJLBsMtFK7:uK/Ojc+JuqWBbzwK+f6VVLBscFs,T1A35220ADC89706988F48AB785B1B2F89118D3B3EF745993272785B7423D2D3E901293D
16/09/2021 14:18,404ee1403df9f2b2e989a8c935e8bdf18c2406d383a0f0801d7ce44b3c6e1515,8d195db00cc6bf08965bc91f2879149c,b68a5aa8a9e59c36d2884705c7b9159a15dcce23,abuse_ch,doc,text/rtf,Formbook,n/a,43.1,n/a,384:3be1eCe23H4f6/F6ny/EbH/wf9vb51adTPJBE2E:C1jek4AueEbH/C9z5sdTPTE,T12472B4ADC5470298CF84ABB9671B1F05258C7A6DF789A133327CA7342BD2C3A501683C
16/09/2021 14:18,4ed83a1bad983590c8ac5e29c310b5a275e0c1f587956c6016bbb598afa246e2,9c973769243aaaf6f2bbe7e20881db66,c2de18f22faf61587d2e8464dede12f948d488f7,abuse_ch,doc,text/rtf,Loki,n/a,31.03,n/a,384:BzHDjsDRhBZwPcSBauK3Ol/YopjEjBJHTCzFWYel:BzX0rBK/oVpLT0yl,T166729EDCC45B0298CF89ABB86B0B5E89054D7A6EF7859433327C677227C2C3A501387D
16/09/2021 14:18,d7ee90c9e467242056847b0191fffea57a5ac0ada521c2ba1d405abcf56c87b7,0285634d458ab2befb2eda5bb95fdfaa,b27c409117b620d29750ad1ae5c7a912c1c8b9c7,abuse_ch,doc,text/rtf,SnakeKeylogger,n/a,n/a,n/a,384:/RlTsg293rwfulKvoFmmtwiPwRnHO66A/qgZvdRWz9ZuRevrW/1:/rDQbkuAMm1ioRnH9Z6XoZt,T10A620EACD16706D98F85A7B86B2B6F81018C762EF3859172367CA77817D2D7B402783C
16/09/2021 14:18,64f2ed763e3fe5bcc31e23841daec01e781edcba51b37bc14a829bad641c66d6,82b7843efadaeb8ca0b9a6454da6a9b6,42deee3b6e19b8202f94dc5d0a853d2a985c853f,abuse_ch,doc,text/rtf,AgentTesla,n/a,28.57,n/a,384:CRG40zMalHP5gFbx+ECKNQHEqx1E2OFOCIBP9DW1jKG1WZsA:CRGhvWFbpC7HCgPtGBA,T17992B3BCD09302A88F426BB82B2F9F44018CBA2EF799A5737178577517E1D7A412787C
16/09/2021 14:17,395a803ba3e091e6ac2629c5591e6cd874f68332a436287d0121f5f21b3524e6,6b53e5d2d9ce484483c7580162272e18,4d044581e69f2bb876ddb15e45d15d79207360f7,abuse_ch,exe,application/x-dosexec,Smoke Loader,n/a,36.07,22bb38bf1203a5ace32b34a360eaaf29,6144:00Ze3emgQaedyl3dyt/VjvlbLXU97/7LfnrPpH8l:0gem9S83dMjRXUJjjnLpH8l,T17D448E34ABA0C034E5BF22F855B697B8A52D7A715B3051CB53F12AEE46342E8DC3174B
16/09/2021 14:15,689953db3e56d3f5e9ac7ece07277dd07d8eb91bb9d07739bd7d081b14cc0db9,97ff5f67d73427ca0632fe4f8dfa7edf,25b735f9e7a3511dd29dee82818198cd872800a1,James_inthe_box,dll,application/x-dosexec,n/a,n/a,n/a,dae02f32a21e03ce65412f6e56942daa,384:UrScHnC6b0PLcbvXXPm+PP+yX/2qfP/mLn22X+XWu+mePXDn22X+XW7n22X+XWek:HcLEcbvXXPm+PP+yX/2qfP/mLn22X+X0,T10E52833AE78A5DB0EADFD7B914E202230A30D4D60A13DBDE64C453B7BB8529295503AD
16/09/2021 14:10,f92cfeb06515f18113a950d5bd569a23cdd85514ef509ccff6c5a4e9a08ca4c7,7b15ff87e11bd9bc7512b41635b68aeb,3ddf56275a2132a384d251247f38cc086b6db914,anonymous,exe,application/x-dosexec,Glupteba,n/a,55.88,c05041e01f84e1ccca9c4451f3b6a383,196608:yDwyI0Mc3QVr8KLiQ7QhrN/0eKifqCxnbiJtyw07oVa:ykj0Mc3Qppihr90eKif3xstf9U,T1D87633F7BAF85C63DAEFF875036294DE9A36B67E0458C2B213E1F9D2518106DC8E1406
