first_seen_utc,signature,tlsh,ssdeep
17/09/2021 3:50,mirai/gafgyt,T10263F782BC80EA22C7C01677FE6F518E331567D8E1EA32429D155FA07A8FC1B0D5B786,1536:bZ4ZLO7YQ010oQJ6sZ+Q7jL1B8t46eTm41Ju9:bZ4k7L0E7nn84JTr1Ju
17/09/2021 3:50,mirai/gafgyt,T173E34C86FA408B13C4C61B76FA9F424A33229B55E3DB73068D185FF43F87A5A4E53606,3072:/ib6c5RgSQMdTJYqNkOjSQRh33maEAZjaXWZ2M/96/r:mDR5QMdZTSQRh33lEAaX9M/96/r
16/09/2021 17:00,mirai/gafgyt,T16933021882351295DAABDE70A47AD46E6B6BF2F78F2D5B1418CBEC810CFD390050BF58,1536:DYBrcToTNFzyWyNrYbj2369GA6gNg2T0AKkyEa5R0X:cBrsoruWyNrf69GA6o9tarU
17/09/2021 3:50,mirai/gafgyt,T10263F782BC80EA22C7C01677FE6F518E331567D8E1EA32429D155FA07A8FC1B0D5B700,1536:bZ4ZLO7YQ010oQJ6sZ+Q7jL1B8t46eTm41Ju9:bZ4k7L0E7nn84JTr1Ju
17/09/2021 3:50,mirai/gafgyt,T173E34C86FA408B13C4C61B76FA9F424A33229B55E3DB73068D185FF43F87A5A4E53600,3072:/ib6c5RgSQMdTJYqNkOjSQRh33maEAZjaXWZ2M/96/r:mDR5QMdZTSQRh33lEAaX9M/96/r
16/09/2021 17:00,mirai/gafgyt,T16933021882351295DAABDE70A47AD46E6B6BF2F78F2D5B1418CBEC810CFD390050BF00,1536:DYBrcToTNFzyWyNrYbj2369GA6gNg2T0AKkyEa5R0X:cBrsoruWyNrf69GA6o9tarU
16/09/2021 17:40,njrat,T1AB93E005A2B4CB39C5FD03FA5C56A6A01375DE47DA92D62B7DDD21AE09333200F217EA,1536:mQiBcDfw692a5btKdKL2g4okY1rrZD3eJG53G73mxdvd6zAlycbMB20yo7hR8XPd:mQnQUcQNkIrF32GhNvAzAlycbMB20yaY
16/09/2021 17:36,njrat,T1B293E84977E53524E1BF5AF79471B2004E38B4871602E39D48F259AA1B33AC44F89FEB,768:PY3DzgSgmnldjcRoMwrx7Y+DIkIITJbXX0pOt8ux82WXxrjEtCdnl2pi1Rz4Rk3R:6zumlbrq+1NTZ0OojEwzGi1dDLDpgS
16/09/2021 17:40,njrat,T1AB93E005A2B4CB39C5FD03FA5C56A6A01375DE47DA92D62B7DDD21AE09333200F21700,1536:mQiBcDfw692a5btKdKL2g4okY1rrZD3eJG53G73mxdvd6zAlycbMB20yo7hR8XPd:mQnQUcQNkIrF32GhNvAzAlycbMB20yaY
16/09/2021 17:36,njrat,T1B293E84977E53524E1BF5AF79471B2004E38B4871602E39D48F259AA1B33AC44F89F00,768:PY3DzgSgmnldjcRoMwrx7Y+DIkIITJbXX0pOt8ux82WXxrjEtCdnl2pi1Rz4Rk3R:6zumlbrq+1NTZ0OojEwzGi1dDLDpgS
