nSample,Hash,Cluster,nLabel,nCluster,Time(s),Homo.,Sil.,Cal.,Dav.
99989,tlsh,dbscan,379,4307,6121.2292,0.8992,0.8095,111.8257,2611.7794
99989,tlsh,hac-t,379,5321,466.6317,0.9254,0.8192,103.6871,3357.744
99989,tlsh,optics,379,17371,10602.8944,0.9394,0.7109,25.3947,7756.5689
99989,tlsh,kmeans,379,378,16.7479,0.3702,-0.2949,36341171.3884,0.5
99989,tlsh,kmeans,379,4306,260.7348,0.5869,-0.5148,387160735.26,0.4996
99989,tlsh,kmeans,379,5320,337.3639,0.6108,-0.5309,473715539.2521,0.4995
99989,tlsh,birch,379,378,13.9124,0.2189,-0.1821,6443.1655,0.5
99989,tlsh,birch,379,4306,13.9404,0.328,-0.4721,543.9232,0.5
99989,tlsh,birch,379,5320,13.9153,0.3391,-0.4934,435.585,0.5
99989,tlsh,ms,379,16663,78.4726,0.7501,-0.5956,1424209610.6044,0.4998
