nSample,Hash,Cluster,nLabel,nCluster,Time(s),Homo.,Sil.,Cal.,Dav.
10,tlsh,dbscan,2,4,0.0008,1.0,0.9668,4.6429,2.6
10,tlsh,hac-t,2,4,0.0031,1.0,0.9668,4.6429,2.6
10,tlsh,kmeans,2,1,0.0124,0.6282,0.2328,25.0,0.48
10,tlsh,kmeans,2,3,0.0186,0.7163,-0.3591,31.0,0.4667
10,tlsh,kmeans,2,3,0.014,0.7163,-0.3591,31.0,0.4667
10,tlsh,birch,2,1,0.0038,0.4325,0.0926,21.3333,0.5
10,tlsh,birch,2,3,0.0011,1.0,-0.2629,23.3846,0.5
10,tlsh,birch,2,3,0.0012,1.0,-0.2629,23.3846,0.5
10,tlsh,ac,2,1,0.0007,0.4325,0.3729,8.1633,0.8
10,tlsh,sp,2,1,0.0936,0.6282,0.2328,25.0,0.48
10,tlsh,optics,2,4,0.0092,1.0,0.9668,4.6429,2.6
